ANALYSIS_DATE,DAILY_FEAR_GREED_SCORE,FEAR_GREED_CATEGORY,TOTAL_ARTICLES,HOURLY_SCORES,PROCESSING_TIMESTAMP
2025-07-24,67,Greed,417,"[
  79,
  66,
  62,
  70,
  71,
  57,
  84,
  75,
  68,
  71,
  66,
  73,
  35,
  64,
  76,
  67,
  74,
  70,
  69,
  72,
  57,
  65,
  77,
  75,
  70,
  67,
  51,
  66,
  58,
  68,
  70,
  36,
  60,
  73,
  86
]",2025-07-25 14:35:01.155
2025-07-25,67,Greed,445,"[
  77,
  53,
  61,
  60,
  67,
  68,
  63,
  71,
  63,
  67,
  66,
  66,
  66,
  79,
  62,
  55,
  69,
  68,
  64,
  68,
  68,
  74,
  66,
  91,
  67,
  64,
  74,
  66,
  62,
  68,
  62
]",2025-07-26 14:35:01.012
2025-07-26,69,Greed,225,"[
  67,
  67,
  63,
  75,
  71,
  63,
  58,
  68,
  65,
  77,
  71,
  68,
  76,
  84,
  71,
  68,
  71,
  81,
  64,
  69,
  32,
  69,
  66,
  75,
  77
]",2025-07-27 14:35:01.144
2025-07-27,67,Greed,164,"[
  66,
  85,
  80,
  76,
  71,
  65,
  68,
  66,
  43,
  76,
  66,
  62,
  69,
  61,
  71,
  89,
  61,
  68,
  72,
  65,
  44,
  65,
  73,
  60,
  57,
  68,
  70
]",2025-07-28 14:35:00.860
2025-07-28,65,Greed,441,"[
  72,
  65,
  58,
  73,
  65,
  66,
  70,
  65,
  80,
  68,
  70,
  72,
  69,
  66,
  70,
  66,
  68,
  79,
  46,
  72,
  36,
  69,
  62,
  68,
  38,
  63,
  66,
  72,
  70,
  46
]",2025-07-29 14:35:01.284
2025-07-29,69,Greed,478,"[
  76,
  71,
  87,
  61,
  69,
  69,
  62,
  72,
  67,
  67,
  71,
  91,
  74,
  71,
  82,
  70,
  69,
  67,
  62,
  67,
  49,
  63,
  71,
  49,
  74,
  71,
  66,
  67,
  65,
  73,
  65,
  74,
  81
]",2025-07-30 14:35:01.809
2025-07-30,67,Greed,470,"[
  63,
  57,
  86,
  60,
  70,
  68,
  65,
  80,
  67,
  72,
  69,
  62,
  68,
  53,
  65,
  65,
  65,
  63,
  68,
  65,
  66,
  60,
  72,
  75,
  80,
  67,
  59,
  70,
  70,
  54
]",2025-07-31 14:35:05.823
2025-07-31,71,Greed,368,"[
  66,
  70,
  63,
  66,
  78,
  70,
  79,
  82,
  74,
  72,
  70,
  73,
  67,
  61,
  75,
  75,
  39,
  77,
  74,
  66,
  82,
  70,
  76,
  69,
  69,
  70,
  76,
  74,
  68
]",2025-08-01 14:35:01.103
2025-08-01,68,Greed,418,"[
  66,
  68,
  48,
  65,
  44,
  62,
  81,
  64,
  68,
  65,
  63,
  64,
  63,
  69,
  72,
  71,
  54,
  78,
  71,
  63,
  74,
  70,
  80,
  89,
  86,
  65,
  63,
  64,
  73,
  71
]",2025-08-02 14:35:01.050
2025-08-02,68,Greed,253,"[
  71,
  66,
  89,
  60,
  75,
  83,
  79,
  65,
  59,
  85,
  62,
  69,
  62,
  32,
  89,
  64,
  73,
  74,
  68,
  75,
  62,
  77,
  65,
  67,
  56,
  68,
  69,
  72,
  51,
  71,
  64,
  53,
  66
]",2025-08-03 14:35:01.041
